Wavelength [nm],Intensity(a.u.)
419.059,315.1407431
419.395,329.6997343
419.732,427.5290575
420.068,460.1587452
420.405,538.0358068
420.742,360.2261802
421.078,229.8366936
421.415,60.96543531
421.751,243.0960689
422.088,356.2869646
422.424,356.724387
422.760,258.1029168
423.097,450.3814664
423.433,466.6202979
423.770,342.5252737
424.106,233.5137947
424.443,339.3037246
424.779,447.9128684
425.115,507.415184
425.452,452.6408418
425.788,568.502513
426.124,472.3590307
426.461,585.9626961
426.797,405.3527051
427.133,312.7170167
427.470,211.7192335
427.806,197.5425561
428.142,148.4362502
428.479,97.62440674
428.815,219.8558678
429.151,201.8490199
429.487,297.458686
429.824,256.5518183
430.160,293.7375606
430.496,180.4864028
430.832,46.96354332
431.168,110.3475516
431.505,138.5060994
431.841,337.3102477
432.177,400.8928469
432.513,580.9736528
432.849,433.8010841
433.185,371.4526853
433.521,207.3979016
433.857,416.8317375
434.194,651.2587254
434.530,691.8925219
434.866,468.0599372
435.202,138.104089
435.538,113.7000592
435.874,241.0256973
436.210,258.958065
436.546,322.7808652
436.882,232.2763328
437.218,174.1516998
437.554,62.56173036
437.890,147.5329689
438.226,463.6266235
438.562,468.5718398
438.898,381.7101687
439.233,203.895586
439.569,313.4924035
439.905,247.320682
440.241,169.8810428
440.577,81.52631843
440.913,114.197941
441.249,134.2398762
441.584,49.09828577
441.920,26.86356305
442.256,96.20922274
442.592,123.588275
442.928,166.8563901
443.264,196.7386053
443.599,242.47049
443.935,307.1183073
444.271,98.10735055
444.607,236.6219925
444.942,270.3571388
445.278,395.2119619
445.614,201.8348016
445.949,238.6567546
446.285,255.3581833
446.621,176.1705492
446.956,59.48966434
447.292,131.6754065
447.628,333.2777024
447.963,216.5726871
448.299,69.8342793
448.634,235.9772392
448.970,275.6107108
449.306,285.0486556
449.641,-71.69164425
449.977,-57.72008078
450.312,-5.549728965
450.648,69.94130492
450.983,3.619450688
451.319,-9.259177883
451.654,127.0722635
451.990,248.0695243
452.325,179.4644893
452.661,188.4288799
452.996,203.1070256
453.332,264.082373
453.667,112.0339149
454.002,86.46259738
454.338,233.4694453
454.673,226.6800376
455.009,224.4343582
455.344,154.3535523
455.679,239.216593
456.015,240.9369987
456.350,99.16024233
456.685,123.7794956
457.021,267.5904918
457.356,274.4376198
457.691,79.39653202
458.027,33.75262608
458.362,97.44805419
458.697,135.0648932
459.032,-27.42509604
459.368,15.73429903
459.703,207.1777221
460.038,319.6334715
460.373,258.5280129
460.708,240.1037641
461.044,244.1648735
461.379,302.6261012
461.714,175.9572177
462.049,119.6088188
462.384,195.7581045
462.719,124.7260815
463.054,66.43246634
463.390,-24.8414522
463.725,276.6964728
464.060,305.1311559
464.395,231.9347819
464.730,90.35850833
465.065,235.3174206
465.400,363.2891815
465.735,224.3979016
466.070,194.618406
466.405,170.2015275
466.740,251.9193914
467.075,127.4855555
467.410,311.0375014
467.745,399.3059415
468.080,292.3790522
468.415,-39.2966793
468.750,-95.07891403
469.084,52.47355411
469.419,71.06678514
469.754,-30.32902708
470.089,-7.005280972
470.424,22.82847599
470.759,90.24261528
471.094,-13.01128163
471.428,128.8019314
471.763,148.9498474
472.098,154.0101095
472.433,110.2694848
472.768,311.1991133
473.102,442.7762341
473.437,321.069002
473.772,68.77643148
474.107,159.9216083
474.441,287.5447729
474.776,285.5220122
475.111,134.1987883
475.445,181.5357081
475.780,325.0292838
476.115,367.4762933
476.449,264.2927679
476.784,164.7635828
477.119,482.4146616
477.453,367.7639077
477.788,268.7625382
478.123,-15.60451268
478.457,203.1119817
478.792,367.1672877
479.126,343.7687362
479.461,206.7065823
479.795,252.1736133
480.130,263.1736133
480.464,340.0018919
480.799,358.8315401
481.133,357.2831807
481.468,225.2913983
481.802,5.589969481
482.137,-12.30815834
482.471,142.4042273
482.806,219.3032023
483.140,88.15750316
483.474,258.5644696
483.809,357.4138144
484.143,370.2905511
484.478,136.1111344
484.812,63.56446958
485.146,240.3215293
485.481,286.2823335
485.815,238.8567151
486.149,238.9205636
486.484,312.8260617
486.818,326.5836439
487.152,96.10239456
487.486,382.593231
487.821,454.6625579
488.155,484.6324269
488.489,75.13337282
488.823,154.0238054
489.158,247.3768354
489.492,216.0791115
489.826,64.89369412
490.160,130.1352647
490.494,144.1626566
490.829,175.2434626
491.163,88.18457008
491.497,331.3795745
491.831,418.2708544
492.165,365.4612278
492.499,30.32342124
492.833,48.20974505
493.167,165.4713373
493.501,216.1626566
493.835,248.5475121
494.169,278.9351068
494.503,309.6885801
494.837,193.1434823
495.171,-17.82586437
495.505,72.41792315
495.839,78.0963938
496.173,200.3475516
496.507,192.6567546
496.841,237.0544588
497.175,427.4379447
497.509,211.9375211
497.843,82.77317001
498.177,124.7608437
498.511,310.0613068
498.845,388.6918417
499.179,143.9087596
499.512,264.7909746
499.846,254.129264
500.180,383.8109962
500.514,69.41192246
500.848,129.179939
501.181,97.01369593
501.515,282.3935954
501.849,73.4009657
502.183,72.76221319
502.517,212.3549219
502.850,231.8663023
503.184,135.0443493
503.518,199.7808652
503.851,317.6954281
504.185,281.0136959
504.519,-41.23009157
504.852,19.89180218
505.186,131.598187
505.520,244.1832005
505.853,61.04350207
506.187,90.22565786
506.521,152.0457189
506.854,267.5160115
507.188,137.8630407
507.521,140.6036654
507.855,162.2675929
508.188,143.8644103
508.522,150.6082965
508.855,140.8777813
509.189,342.2275498
509.522,268.0161102
509.856,117.969544
510.189,23.19141803
510.523,97.21007
510.856,148.500946
511.190,110.4420535
511.523,59.77127804
511.857,249.1352647
512.190,180.5663614
512.523,101.7945611
512.857,123.0460438
513.190,450.1415904
513.523,563.4138144
513.857,422.7877131
514.190,243.3393341
514.523,165.3809442
514.857,152.8567151
515.190,-68.47935742
515.523,2.988718371
515.857,182.3480739
516.190,187.8758894
516.523,-24.72914558
516.856,-43.01591278
517.190,132.7822348
517.523,200.7027984
517.856,-90.45333514
518.189,82.51242501
518.522,430.6041878
518.856,491.9320427
519.189,328.4891419
519.522,93.83480163
519.855,252.531077
520.188,167.5949255
520.521,128.2319835
520.854,76.41107517
521.187,317.7334518
521.520,265.9923048
521.854,246.3297469
522.187,226.4828164
522.520,363.2609423
522.853,498.5567743
523.186,390.1498079
523.519,395.5524682
523.852,361.2785496
524.185,194.8252145
524.518,30.03802369
524.851,85.11335127
525.183,286.6266235
525.516,417.373249
525.849,401.8038233
526.182,566.7745396
526.515,697.7137552
526.848,453.3804218
527.181,28.31794292
527.514,-24.58070725
527.847,223.8849542
528.179,343.0881763
528.512,224.5466649
528.845,248.2360923
529.178,389.8556704
529.511,303.1566559
529.843,100.958065
530.176,81.58312152
530.509,166.4607054
530.842,100.1027194
531.174,34.63242685
531.507,153.025175
531.840,424.5458176
532.172,379.1481134
532.505,229.0005223
532.838,147.1525471
533.170,198.5589912
533.503,156.6959504
533.836,61.642014
534.168,149.0306534
534.501,265.1516998
534.834,160.5740567
535.166,12.93119542
535.499,167.3549219
535.831,428.8972806
536.164,414.4735541
536.496,229.7211254
536.829,109.8038233
537.161,171.5923838
537.494,2.483663559
537.826,-54.12411059
538.159,86.52201217
538.491,280.3398564
538.824,205.9216083
539.156,57.3371172
539.489,237.0024143
539.821,438.5937533
540.153,455.0325453
540.486,68.51516423
540.818,76.95943453
541.151,171.9936744
541.483,232.1065033
541.815,76.66771134
542.148,63.12019924
542.480,226.6028181
542.812,230.4516406
543.145,128.6337964
543.477,143.0813283
543.809,413.3270077
544.141,325.3155286
544.474,182.1224161
544.806,101.9991527
545.138,246.1826781
545.470,240.5096859
545.802,38.6362107
546.135,82.89506369
546.467,199.2242883
546.799,284.0333926
547.131,206.5023155
547.463,211.4288799
547.795,215.8599766
548.128,216.2809639
548.460,101.3220517
548.792,241.2207018
549.124,358.0654155
549.456,372.8424968
549.788,191.457119
550.120,128.6699282
550.452,316.7904523
550.784,286.3735738
551.116,291.426988
551.448,276.889063
551.780,516.9397379
552.112,349.9460636
552.444,218.0624789
552.776,115.5077939
553.108,343.7402997
553.440,383.6247316
553.772,262.4187704
554.104,173.7151247
554.435,255.4702926
554.767,204.1424376
555.099,213.4228792
555.431,205.0470885
555.763,312.7553653
556.095,231.5827966
556.426,178.4357279
556.758,178.9991527
557.090,338.2319835
557.422,302.5598384
557.754,247.9123461
558.085,249.8781063
558.417,310.84028
558.749,246.5042075
559.080,-43.68584096
559.412,29.56668641
559.744,249.6329492
560.076,379.3598779
560.407,198.2735936
560.739,207.3056166
561.071,308.0837426
561.402,303.8736726
561.734,194.0777418
562.065,183.6362107
562.397,461.6101884
562.729,338.6726674
563.060,250.5105331
563.392,135.958065
563.723,347.7978226
564.055,565.0092622
564.386,327.3288996
564.718,302.9745001
565.049,103.8301705
565.381,159.9548034
565.712,25.53877223
566.044,102.6639275
566.375,361.7402997
566.707,483.6216675
567.038,301.4047495
567.369,138.5644696
567.701,126.6082965
568.032,147.1010249
568.364,83.65623227
568.695,72.91234608
569.026,244.5447729
569.358,148.2210267
569.689,-24.88632382
570.020,-22.37768264
570.352,60.51548914
570.683,179.7241896
571.014,-99.10050259
571.345,-67.03202294
571.677,119.5516209
572.008,141.8462807
572.339,71.82215035
572.670,-73.82860351
573.001,255.6055573
573.333,204.2785496
573.664,121.1862646
573.995,82.20870041
574.326,277.316051
574.657,339.5091635
574.988,70.74114701
575.320,77.97860887
575.651,107.4187704
575.982,189.2585281
576.313,167.7307126
576.644,375.3740962
576.975,563.667189
577.306,512.4209873
577.637,102.228722
577.968,121.3574637
578.299,234.4889446
578.630,356.9227805
578.961,252.6885801
579.292,240.3593556
579.623,402.1607647
579.954,274.9000197
580.285,63.37305152
580.616,-5.690274656
580.947,164.7714754
581.277,218.6225148
581.608,82.35713876
581.939,96.57405671
582.270,265.9506947
582.601,276.4880973
582.932,150.3571388
583.263,245.9238252
583.593,464.4352055
583.924,463.8657799
584.255,147.5146419
584.586,151.4995764
584.916,322.715972
585.247,351.2675929
585.578,201.8060402
585.909,181.7964531
586.239,424.6096661
586.570,374.2147011
586.901,252.3302693
587.231,231.3686178
587.562,414.7918219
587.893,396.1443296
588.223,152.5370777
588.554,230.0785891
588.885,268.3196374
589.215,245.136112
589.546,-51.40592174
589.876,25.17583018
590.207,294.5887974
590.537,307.7815849
590.868,280.142635
591.198,237.1653958
591.529,437.7764315
591.859,393.8161497
592.190,168.6540154
592.520,188.1996356
592.851,200.0315006
593.181,218.7680165
593.512,-18.03782625
593.842,66.0791115
594.173,321.7164943
594.503,386.863888
594.833,202.6017735
595.164,112.8753671
595.494,189.4297271
595.824,237.3598779
596.155,95.43298864
596.485,122.0695243
596.815,192.4836636
597.146,169.6178837
597.476,200.0525668
597.806,269.8320624
598.137,586.4617501
598.467,361.4762933
598.797,224.4434231
599.127,115.3905313
599.457,304.2960294
599.788,319.2598977
600.118,164.4174008
600.448,232.136112
600.778,362.8657799
601.108,300.8246922
601.438,77.8342793
601.769,-20.12189375
602.099,221.4927284
602.429,156.1078729
602.759,146.9722832
603.089,-59.83101779
603.419,191.6324269
603.749,149.9668048
604.079,174.2198546
604.409,274.6928863
604.739,380.3247908
605.069,354.7356686
605.399,160.136112
605.729,211.2694848
606.059,338.2333531
606.389,291.3388117
606.719,111.2809639
607.049,132.278747
607.379,195.445315
607.709,133.272224
608.039,-41.41309462
608.368,3.32342124
608.698,219.4680757
609.028,259.7794956
609.358,54.16950453
609.688,-7.456074327
610.018,108.1333728
610.347,136.9082373
610.677,37.07089392
611.007,156.9070652
611.337,372.0234805
611.666,500.8668246
611.996,298.1152432
612.326,263.038546
612.656,151.9147603
612.985,263.2735936
613.315,138.6814072
613.645,375.6887775
613.974,417.7485173
614.304,489.8698887
614.634,229.2251355
614.963,189.3604003
615.293,212.9358265
615.622,106.9558481
615.952,17.17856938
616.282,-41.13969845
616.611,200.9594345
616.941,183.9388907
617.270,105.8909549
617.600,98.32152934
617.929,139.1443296
618.259,314.228397
618.588,202.6238844
618.918,221.0243278
619.247,187.3297469
619.577,51.41413929
619.906,-36.13200322
620.235,-51.8981278
620.565,262.1188296
620.894,223.9539562
621.224,53.13885119
621.553,28.09091545
621.882,144.995044
622.212,243.4658589
622.541,87.97639201
622.870,170.7800179
623.200,370.6512763
623.529,382.3266828
623.858,153.4430981
624.187,87.33848673
624.517,158.1640262
624.846,288.5631
625.175,106.8257368
625.504,107.7093215
625.834,182.2640064
626.163,205.8781063
626.492,75.73514629
626.821,43.91730211
627.150,125.3004631
627.479,147.3667259
627.809,-19.76749419
628.138,-43.50127089
628.467,203.6800376
628.796,279.1412655
629.125,159.5389696
629.454,24.05224186
629.783,178.7641052
630.112,207.3146814
630.441,211.8630407
630.770,130.6945809
631.099,306.9818703
631.428,273.8334321
631.757,177.3853779
632.086,48.87810625
632.415,11.86082392
632.744,115.6704505
633.073,92.3220517
633.402,192.9320427
633.731,217.3228989
634.060,286.8498671
634.388,272.2598977
634.717,266.6589715
635.046,289.3680955
635.375,93.65760183
635.704,-106.443748
636.033,-48.78803807
636.361,125.4165536
636.690,295.7238646
637.019,148.0566756
637.348,96.5784904
637.676,213.4766182
638.005,267.2547442
638.334,415.8424968
638.663,316.1640262
638.991,435.8115186
639.320,229.4625974
639.649,169.179939
639.977,62.93889066
640.306,166.3121397
640.635,114.3126308
640.963,62.97978847
641.292,110.9802795
641.620,254.9807705
641.949,237.3145949
642.278,114.6484193
642.606,91.98224365
642.935,295.9827347
643.263,334.6498924
643.592,144.3170501
643.920,113.6508744
644.249,131.6513655
644.577,241.6518565
644.906,112.3190142
645.234,73.98617192
645.562,133.3199963
645.891,126.3204873
646.219,172.3209784
646.548,185.6548027
646.876,241.6552938
647.204,168.3224515
647.533,78.65627581
647.861,99.9901002
648.190,194.9905912
648.518,276.6577489
648.846,152.9915733
649.174,87.65873101
649.503,242.659222
