Save Time: 2025-02-27 14:49:46
Units:(mV)
,CH1,CH2
Status:,Stop,Stop
Frequency:,25.888 kHz,73.925 kHz
Period:,38.629 uS,13.527 uS
PK-PK:,3.560 V,70000.000 V


240,-1400.00,12400000.00
241,-1440.00,-13200000.00
242,-1440.00,14000000.00
243,-1440.00,-15200000.00
244,-1440.00,10000000.00
245,-1440.00,-9200000.00
246,-1400.00,6800000.00
247,-1440.00,-7200000.00
248,-1360.00,4400000.00
249,-1440.00,-4400000.00
250,-1360.00,1600000.00
251,-1400.00,-1200000.00
252,-1320.00,24800000.00
253,-1360.00,-26800000.00
254,-1280.00,8400000.00
255,-1320.00,-9200000.00
256,-1240.00,2800000.00
257,-1280.00,-2800000.00
258,-1160.00,800000.00
259,-1240.00,-800000.00
260,-1120.00,400000.00
261,-1200.00,-400000.00
262,-1000.00,400000.00
263,-1240.00,0.00
264,-1000.00,400000.00
265,-1120.00,0.00
266,-880.00,400000.00
267,-1080.00,0.00
268,-840.00,400000.00
269,-1040.00,0.00
270,-760.00,400000.00
271,-1000.00,0.00
272,-680.00,400000.00
273,-1000.00,0.00
274,-720.00,400000.00
275,-840.00,0.00
276,-680.00,11600000.00
277,-800.00,-10800000.00
278,-600.00,10800000.00
279,-720.00,-10800000.00
280,-480.00,17600000.00
281,-720.00,-13200000.00
282,280.00,18000000.00
283,-760.00,-18000000.00
284,1680.00,14400000.00
285,440.00,-12800000.00
286,1560.00,10400000.00
287,1440.00,-12000000.00
288,1520.00,8800000.00
289,1480.00,-8400000.00
290,1560.00,10000000.00
291,1520.00,-10400000.00
292,1560.00,5200000.00
293,1520.00,-8400000.00
294,1560.00,12400000.00
295,1520.00,-11200000.00
296,1560.00,8800000.00
297,1480.00,-9200000.00
298,1520.00,18800000.00
299,1480.00,-17200000.00
300,1480.00,7600000.00
301,1440.00,-7600000.00
302,1440.00,3600000.00
303,1400.00,-4000000.00
304,1400.00,1200000.00
305,1360.00,-1200000.00
306,1360.00,400000.00
307,1280.00,-400000.00
308,1320.00,0.00
309,1240.00,-400000.00
310,1280.00,0.00
311,1200.00,-400000.00
312,1280.00,0.00
313,1040.00,-400000.00
314,1200.00,0.00
315,1040.00,0.00
316,1200.00,0.00
317,920.00,0.00
318,1080.00,0.00
319,880.00,-400000.00
320,1080.00,0.00
321,800.00,0.00
322,960.00,0.00
323,800.00,0.00
324,920.00,0.00
325,720.00,-400000.00
326,840.00,19600000.00
327,760.00,-21200000.00
328,880.00,10400000.00
329,680.00,-9600000.00
330,760.00,12000000.00
331,600.00,-14800000.00
332,600.00,12000000.00
333,-1440.00,-11600000.00
334,-1320.00,12800000.00
335,-1400.00,-14000000.00
336,-1320.00,11600000.00
337,-1400.00,-10400000.00
338,-1360.00,10400000.00
339,-1400.00,-8000000.00
340,-1400.00,8000000.00
341,-1440.00,-7600000.00
342,-1360.00,8800000.00
343,-1400.00,-10400000.00
344,-1360.00,4400000.00
345,-1400.00,-5600000.00
346,-1320.00,3200000.00
347,-1400.00,-3600000.00
348,-1320.00,2000000.00
349,-1360.00,-1600000.00
350,-1240.00,400000.00
351,-1320.00,-400000.00
352,-1200.00,800000.00
353,-1280.00,-400000.00
354,-1160.00,800000.00
355,-1240.00,-400000.00
356,-1120.00,400000.00
357,-1160.00,0.00
358,-1040.00,400000.00
359,-1120.00,0.00
360,-960.00,400000.00
361,-1080.00,0.00
362,-880.00,400000.00
363,-1120.00,0.00
364,-800.00,400000.00
365,-1040.00,0.00
366,-600.00,400000.00
367,-1200.00,0.00
368,-720.00,400000.00
369,-920.00,0.00
370,-640.00,400000.00
371,-840.00,0.00
372,-640.00,400000.00
373,-800.00,0.00
374,-600.00,9600000.00
375,-720.00,-8800000.00
376,-560.00,8400000.00
377,-640.00,-8800000.00
378,-440.00,7200000.00
379,-720.00,-24800000.00
380,1560.00,31200000.00
381,-560.00,-29600000.00
382,1560.00,11200000.00
383,1480.00,-12800000.00
384,1560.00,5600000.00
385,1520.00,-4800000.00
386,1600.00,5600000.00
387,1520.00,-5200000.00
388,1600.00,14000000.00
389,1560.00,-12400000.00
390,1600.00,6400000.00
391,1560.00,-6000000.00
392,1560.00,12400000.00
393,1520.00,-13200000.00
394,1560.00,8400000.00
395,1520.00,-7600000.00
396,1520.00,2400000.00
397,1480.00,-2000000.00
398,1480.00,800000.00
399,1440.00,-800000.00
400,1440.00,400000.00
401,1400.00,-400000.00
402,1400.00,0.00
403,1360.00,-400000.00
404,1360.00,0.00
405,1280.00,-400000.00
406,1320.00,0.00
407,1240.00,-400000.00
408,1360.00,0.00
409,1080.00,-400000.00
410,1240.00,0.00
411,1000.00,-400000.00
412,1160.00,0.00
413,1000.00,-400000.00
414,1240.00,0.00
415,800.00,-400000.00
416,1040.00,0.00
417,880.00,-400000.00
418,1080.00,0.00
419,800.00,-400000.00
420,960.00,0.00
421,720.00,-400000.00
422,840.00,16400000.00
423,720.00,-18000000.00
424,840.00,9600000.00
