Wavelength [nm],Intensity(a.u.)
274.023,107.9560485
274.364,193.6423272
274.705,258.2169697
275.046,11.63216964
275.387,6.270642459
275.728,165.1073455
276.069,101.8840727
276.410,206.2600484
276.751,241.9071029
277.092,466.5142303
277.433,210.585503
277.774,75.57762416
278.115,127.4526787
278.456,323.9102545
278.797,302.9760969
279.138,169.8613091
279.479,135.9368726
279.820,216.4711515
280.160,266.5193939
280.501,160.4645818
280.842,202.0117333
281.183,145.1617211
281.524,166.1558545
281.865,154.0958787
282.206,183.8827637
282.546,298.4966303
282.887,249.0446545
283.228,251.4343758
283.569,266.4355151
283.910,267.0661093
284.251,177.9368726
284.591,54.93144243
284.932,39.14770905
285.273,308.1653091
285.614,274.8996604
285.954,202.9873938
286.295,148.4476848
286.636,383.9756606
286.976,378.7280483
287.317,306.7025696
287.658,288.0762666
287.999,431.1249455
288.339,231.992994
288.680,65.94632726
289.020,148.1766059
289.361,296.9352969
289.702,249.0214547
290.042,2.06610926
290.383,108.6199998
290.724,181.6129939
291.064,226.5369939
291.405,92.93844843
291.745,189.6035392
292.086,334.8730424
292.426,429.3987394
292.767,283.5667637
293.107,209.2627637
293.448,223.7508121
293.788,290.0884362
294.129,106.1017455
294.469,47.51694536
294.810,57.0527997
295.150,153.0591031
295.491,45.12494545
295.831,88.91384246
296.172,240.1217939
296.512,491.0724121
296.853,467.2553212
297.193,474.9384484
297.533,315.7230545
297.874,264.2318545
298.214,215.1973575
298.554,297.1033212
298.895,379.7311998
299.235,273.2733575
299.576,108.0176
299.916,128.3195879
300.256,359.7332121
300.596,494.4605573
300.937,464.2749333
301.277,363.7724364
301.617,462.4461091
301.958,480.9501819
302.298,452.4727271
302.638,516.4328
302.978,757.7821577
303.318,927.1601454
303.659,976.2052363
303.999,1090.573067
304.339,1386.229139
304.679,1837.15857
305.019,2492.381406
305.360,3816.234133
305.700,6076.371249
306.040,9783.668945
306.380,14770.99055
306.720,21442.32861
307.060,29212.27379
307.400,38813.2632
307.740,48765.63445
308.081,56940.32301
308.421,61248.33518
308.761,62178.99956
309.101,61008.44024
309.441,57399.25532
309.781,50535.75038
310.121,41815.07741
310.461,33104.37239
310.801,25767.93101
311.141,19529.56361
311.481,14571.70931
311.821,11109.42492
312.161,9364.110763
312.501,8591.829964
312.841,8307.410909
313.180,8087.676824
313.520,8396.411176
313.860,8871.873745
314.200,9142.723758
314.540,9014.344194
314.880,8679.487878
315.220,8007.87874
315.560,7139.435781
315.899,6054.325454
316.239,5400.197794
316.579,4702.249454
316.919,4067.386133
317.259,3295.458982
317.599,2991.926279
317.938,2836.759394
318.278,2742.384557
318.618,2324.544436
318.958,2248.976097
319.297,2253.02977
319.637,2265.637333
319.977,2040.546449
320.316,2044.151564
320.656,2151.719903
320.996,2086.965503
321.336,1844.598109
321.675,1528.196655
322.015,1566.281236
322.354,1363.944315
322.694,1337.539273
323.034,1027.746085
323.373,957.4307876
323.713,696.5401455
324.053,642.3635395
324.392,693.2780849
324.732,851.8678788
325.071,695.7264727
325.411,436.1468364
325.750,346.5444364
326.090,338.4179152
326.429,392.7395151
326.769,149.4891878
327.108,388.3144239
327.448,448.3994426
327.787,665.954909
328.127,328.1957816
328.466,312.9427392
328.806,333.3446302
329.145,442.1064727
329.485,321.9607756
329.824,266.5397091
330.163,321.1017455
330.503,314.8157814
330.842,585.4797332
331.182,703.4483879
331.521,978.8949333
331.860,665.3313211
332.200,568.0575273
332.539,380.7124605
332.878,450.2291394
333.218,317.0058667
333.557,284.4041697
333.896,278.2553212
334.236,427.2420121
334.575,373.2388606
334.914,211.5945211
335.253,203.4711515
335.593,367.591806
335.932,581.155418
336.271,732.4100363
336.610,774.8128
336.949,933.0035879
337.289,827.0254788
337.628,660.4206303
337.967,386.839685
338.306,386.9928242
338.645,297.1820362
338.984,133.1229332
339.324,5.166448474
339.663,180.5545939
340.002,244.1459635
340.341,149.0922906
340.680,19.58707865
341.019,97.5988121
341.358,202.7754183
341.697,328.7269091
342.036,415.0787151
342.375,597.9490424
342.714,471.0888727
343.053,296.4386666
343.392,160.3047029
343.731,280.2036606
344.070,323.9936969
344.409,276.7688485
344.748,211.6826909
345.087,423.0191757
345.426,577.5640485
345.765,531.7187636
346.104,548.5683394
346.443,808.4763151
346.782,941.5088
347.121,887.8953696
347.459,791.4700121
347.798,944.6321696
348.137,884.163297
348.476,564.8985212
348.815,451.1648727
349.154,548.6066908
349.492,463.2287029
349.831,278.9905453
350.170,225.7417938
350.509,274.2643393
350.848,243.8617454
351.186,122.2934061
351.525,250.8378424
351.864,357.8394182
352.203,230.8362667
352.541,80.91226667
352.880,79.99728489
353.219,364.9553455
353.557,475.5848
353.896,427.2925333
354.235,326.9943999
354.573,734.4664241
354.912,735.5706181
355.251,639.9086788
355.589,184.8746183
355.928,250.5530183
356.266,301.2584727
356.605,571.1926304
356.944,632.942303
357.282,835.7688485
357.621,601.6619393
357.959,529.3297455
358.298,289.7480969
358.636,325.0681212
358.975,231.8671758
359.313,145.8017696
359.652,234.4445333
359.990,376.3599515
360.329,429.2259879
360.667,297.9932606
361.006,254.2224
361.344,312.4652849
361.683,145.3579395
362.021,63.00656947
362.359,173.4206303
362.698,333.4370909
363.036,364.2760725
363.375,243.7731393
363.713,371.6885576
364.051,356.5471514
364.390,327.6454787
364.728,257.3051394
365.066,288.6474909
365.405,402.913406
365.743,336.2169697
366.081,334.4657212
366.419,272.1946424
366.758,347.1876364
367.096,312.3412122
367.434,306.6826909
367.772,157.9979877
368.111,141.4747394
368.449,128.2616242
368.787,83.05393918
369.125,269.6195637
369.463,334.6317333
369.802,398.0852847
370.140,300.9231271
370.478,227.7210425
370.816,313.5843635
371.154,225.2185454
371.492,136.9851152
371.830,97.43481215
372.169,138.7176243
372.507,147.4120485
372.845,234.3712486
373.183,246.0214547
373.521,403.5859393
373.859,312.0101576
374.197,173.948606
374.535,205.6657939
374.873,298.7375031
375.211,441.7625453
375.549,334.5376969
375.887,226.581212
376.225,263.3446302
376.563,130.4695756
376.901,124.1463999
377.239,201.3990057
377.577,373.0437818
377.915,292.0108604
378.253,114.6304243
378.590,59.61396376
378.928,326.5293819
379.266,338.6606304
379.604,325.2352727
379.942,383.4134545
380.280,478.4353453
380.618,531.868145
380.955,166.5704489
381.293,104.775684
381.631,129.1351999
381.969,185.0113929
382.307,167.1559512
382.644,96.48928452
382.982,237.0772362
383.320,166.8708601
383.658,209.6002178
383.995,134.9824972
384.333,260.3816729
384.671,118.6335756
385.008,211.6256965
385.346,147.353042
385.684,295.0781085
386.021,221.6351512
386.359,151.9375757
386.697,158.2544479
387.034,177.4342063
387.372,260.8255029
387.709,211.0323151
388.047,208.840824
388.385,219.1714422
388.722,299.937139
389.060,116.4917329
389.397,98.44278781
389.735,94.59679985
390.072,282.4605573
390.410,172.1303757
390.747,98.71403639
391.085,18.85973318
391.422,80.28150272
391.760,24.49103006
392.097,128.0668119
392.435,171.8255029
392.772,175.4698426
393.110,53.52351459
393.447,109.5020604
393.784,248.4907636
394.122,340.6094058
394.459,171.2713454
394.797,329.4883149
395.134,276.773406
395.471,294.5474181
395.809,-15.58094557
396.146,75.41905443
396.483,232.9030789
396.821,202.4161696
397.158,187.3656484
397.495,182.3338668
397.832,418.7576488
398.170,361.899491
398.507,189.8345215
398.844,154.5611636
399.181,199.0809937
399.519,324.5823515
399.856,219.8615753
400.193,295.9324121
400.530,337.6362912
400.867,357.9775027
401.205,220.1396605
401.542,204.8807515
401.879,437.2289697
402.216,304.975927
402.553,372.8451152
402.890,142.2273941
403.227,272.1694304
403.565,328.5956604
403.902,305.2803637
404.239,436.8545694
404.576,267.0688241
404.913,241.9896725
405.250,67.35233959
405.587,138.0467634
405.924,230.2089208
406.261,206.1513937
406.598,307.6123877
406.935,259.6879514
407.272,468.5697455
407.609,210.4319274
407.946,120.1486786
408.283,63.74792735
408.620,251.8775997
408.956,319.4420849
409.293,154.7386423
409.630,100.3414789
409.967,106.0915877
410.304,161.3520726
410.641,64.16829093
410.978,78.3162667
411.315,167.9281214
411.651,217.9716363
411.988,188.5517089
412.325,125.8415273
412.662,240.9962422
412.999,167.1231999
413.335,163.5255273
413.672,129.5803393
414.009,267.819636
414.346,233.2544479
414.682,94.77970902
415.019,-22.61789099
415.356,55.95246013
415.692,-12.93818196
416.029,1.707733393
416.366,73.64933332
416.702,337.2681939
417.039,371.5334059
417.376,260.2909575
417.712,142.7163149
418.049,245.2255515
418.386,217.4041697
418.722,292.7582544
419.059,170.1421089
419.395,227.4123151
419.732,206.6735026
420.068,286.4725577
420.405,398.7605333
420.742,356.7950301
421.078,272.8232244
421.415,114.5228122
421.751,257.4213332
422.088,369.3139882
422.424,343.5462786
422.760,243.7918789
423.097,378.8275146
423.433,412.3139882
423.770,305.942303
424.106,212.3579395
424.443,299.0277575
424.779,397.048509
425.115,373.8220847
425.452,259.7589572
425.788,290.0072726
426.124,228.5169454
426.461,311.8412606
426.797,171.3378908
427.133,122.9842423
427.470,137.1409697
427.806,172.5142303
428.142,145.1252122
428.479,79.33631516
428.815,200.9274181
429.151,217.223539
429.487,303.4357815
429.824,295.9418664
430.160,288.0958787
430.496,200.5424243
430.832,52.32387861
431.168,120.265915
431.505,133.5047755
431.841,255.107176
432.177,296.4616968
432.513,409.234133
432.849,285.9630543
433.185,180.5478543
433.521,-9.083176136
433.857,82.98494562
434.194,309.6825212
434.530,432.1705694
434.866,416.7030058
435.202,173.8989576
435.538,193.7034424
435.874,280.5169454
436.210,326.6274423
436.546,308.1425454
436.882,231.8789091
437.218,125.5349816
437.554,75.61842418
437.890,134.4621334
438.226,479.4930423
438.562,461.5286786
438.898,394.2803637
439.233,192.4765817
439.569,359.0970179
439.905,214.9752239
440.241,86.25287231
440.577,-71.67471568
440.913,23.16356309
441.249,131.5361211
441.584,99.24472721
441.920,55.78058179
442.256,111.8475636
442.592,106.2846545
442.928,235.4522421
443.264,242.1455274
443.599,290.3112726
443.935,300.4982061
444.271,157.772
444.607,285.9458909
444.942,335.9846788
445.278,408.8624483
445.614,267.9576241
445.949,282.9901089
446.285,249.7009935
446.621,126.0147146
446.956,-9.584533215
447.292,104.2361454
447.628,337.8863516
447.963,200.6779635
448.299,107.4328
448.634,238.398303
448.970,311.9285576
449.306,275.6856729
449.641,-38.75842428
449.977,31.3764121
450.312,63.15743025
450.648,131.2470059
450.983,11.49803638
451.319,19.96892118
451.654,202.4366545
451.990,333.4217695
452.325,267.4233454
452.661,192.8965089
452.996,221.4808725
453.332,295.6802422
453.667,147.2282666
454.002,82.22441216
454.338,199.5949575
454.673,191.1166302
455.009,216.2596119
455.344,167.4871757
455.679,247.7429333
456.015,198.9909818
456.350,24.53743033
456.685,37.46843628
457.021,175.4413819
457.356,194.1326542
457.691,12.90938187
458.027,4.511078755
458.362,106.6673695
